=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2026-1-18_12-58-1
====================================================================================
12:58:1 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
12:58:1 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
12:58:1 | [PermissionManager] Perm (FreeCamera) has been registered!
12:58:1 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
12:58:1 | [PermissionManager] Perm (MenuItemManager) has been registered!
12:58:1 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
12:58:1 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
12:58:1 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
12:58:1 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
12:58:1 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
12:58:1 | [PermissionManager] Perm (MenuServerManager) has been registered!
12:58:1 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
12:58:1 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
12:58:1 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
12:58:1 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
12:58:1 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
12:58:1 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
12:58:1 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
12:58:1 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
12:58:1 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
12:58:1 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
12:58:1 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
12:58:1 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
12:58:1 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
12:58:1 | [PermissionManager] Perm (MenuObjectManager) has been registered!
12:58:1 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
12:58:1 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
12:58:1 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
12:58:1 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
12:58:1 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
12:58:1 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
12:58:1 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
12:58:1 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
12:58:1 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
12:58:1 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
12:58:1 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
12:58:1 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
12:58:1 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
12:58:1 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
12:58:1 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
12:58:1 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
12:58:1 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
12:58:1 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
12:58:1 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
12:58:1 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
12:58:1 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
12:58:1 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
12:58:1 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
12:58:1 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
12:58:1 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
12:58:1 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
12:58:1 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
12:58:1 | [PermissionManager] Perm (MenuBansManager) has been registered!
12:58:1 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
12:58:1 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
12:58:1 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
12:58:1 | [PermissionManager] Perm (MenuWebHooks) has been registered!
12:58:1 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
12:58:1 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
12:58:1 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
12:58:1 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
12:58:1 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
12:58:1 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
12:58:1 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
12:58:1 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
12:58:1 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
12:58:1 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
12:58:1 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
12:58:1 | [PermissionManager] Perm (EspToolsMenu) has been registered!
12:58:1 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
12:58:1 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
12:58:1 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
12:58:1 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
12:58:1 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
12:58:1 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
12:58:1 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
12:58:1 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
12:58:1 | [PermissionManager] Adding Super Admin (76561198116299684)
12:58:1 | [PermissionManager] Adding Super Admin (76561198124555828)
12:58:1 | [PermissionManager] Loaded UserGroups.json
12:58:1 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
12:58:1 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
12:58:1 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
12:58:1 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
12:58:1 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
12:58:1 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
12:58:1 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
12:58:1 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
12:58:1 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
12:58:1 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
12:58:1 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
12:58:1 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
12:58:1 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
12:58:1 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
12:58:1 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
12:58:1 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
12:58:1 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
12:58:1 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
12:58:1 | Building Sets Loaded: 0
12:58:1 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
12:58:1 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
12:59:0 | Player "BouRHooD" (steamId=76561198116299684) connected to server!
13:0:28 | "BouRHooD" (steamid=76561198116299684) Spawned Item: (GP5GasMask)
13:0:32 | "BouRHooD" (steamid=76561198116299684) Spawned Item: (GasMask_Filter)
13:0:56 | Player "BorisBritva" (steamId=76561198124555828) connected to server!
13:3:13 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<14071.760742, 139.139542, 15052.334961>)
13:3:14 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<14069.622070, 139.141190, 15050.470703>)
13:3:15 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<14070.573242, 139.140457, 15049.633789>)
13:3:17 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<14068.409180, 139.142136, 15049.421875>)
13:3:17 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<14070.046875, 139.303894, 15047.066406>)
13:3:18 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<14071.995117, 139.139359, 15050.511719>)
13:3:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<14070.210938, 139.140732, 15049.794922>)
13:3:20 | "BorisBritva" (steamid=76561198124555828) healed player (steamid=76561198124555828)
13:3:27 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<14063.658203, 138.735229, 15038.898438>)
13:3:28 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<14056.130859, 139.187683, 15039.563477>)
13:3:29 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<14056.098633, 143.808914, 15053.687500>)
13:3:31 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<14066.754883, 143.232208, 15047.617188>)
13:3:33 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<14054.499023, 145.356186, 15055.068359>)
13:3:35 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<14068.146484, 143.339005, 15049.486328>)
13:3:36 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<14064.852539, 138.861649, 15041.605469>)
13:3:50 | "BorisBritva" (steamid=76561198124555828) Spawned Item: (Radiation_Geiger_Pripyat)
13:3:52 | "BorisBritva" (steamid=76561198124555828) Spawned Item: (Radiation_Dosimeter_Pripyat)
13:3:57 | "BorisBritva" (steamid=76561198124555828) Spawned Item: (Battery9V)
13:3:58 | "BorisBritva" (steamid=76561198124555828) Spawned Item: (Battery9V)
13:3:58 | "BorisBritva" (steamid=76561198124555828) Spawned Item: (Battery9V)
13:4:25 | "BouRHooD" (steamid=76561198116299684) Spawned Item: (Radiation_BottlePills)
13:4:27 | "BouRHooD" (steamid=76561198116299684) Spawned Item: (Radiation_BottlePills)
13:4:28 | "BouRHooD" (steamid=76561198116299684) Spawned Item: (Radiation_BottlePills)
13:4:31 | "BorisBritva" (steamid=76561198124555828) Spawned Item: (Radiation_BottlePills)
13:5:12 | "BorisBritva" (steamid=76561198124555828) teleported to crosshair (pos=<14204.709961, 142.756592, 15006.216797>)
13:5:14 | "BorisBritva" (steamid=76561198124555828) teleported to crosshair (pos=<14246.134766, 140.924484, 15003.875000>)
13:5:14 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<14069.635742, 139.237869, 15019.810547>)
13:5:15 | "BorisBritva" (steamid=76561198124555828) teleported to crosshair (pos=<14323.795898, 142.704468, 15004.380859>)
13:5:15 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<14090.391602, 129.504501, 14833.462891>)
13:5:15 | "BorisBritva" (steamid=76561198124555828) teleported to crosshair (pos=<14583.643555, 143.675720, 14999.374023>)
13:5:15 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<14093.917969, 129.164825, 14805.107422>)
13:5:16 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<14164.725586, 125.216446, 14662.091797>)
13:5:17 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<14243.086914, 1222.412109, 14718.060547>)
13:6:4 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<12955.857422, 23.517597, 8017.554199>)
13:6:5 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<12946.248047, 23.561646, 8018.315918>)
13:6:6 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<12938.915039, 22.564487, 8025.727051>)
13:6:9 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<12946.362305, 22.933756, 8020.767090>)
13:6:11 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<12940.446289, 22.759027, 8022.513672>)
13:6:12 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<12932.907227, 22.410896, 8027.822754>)
13:6:12 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<12939.119141, 22.741838, 8022.701660>)
13:6:13 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<12946.499023, 23.190022, 8017.355469>)
