=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2026-1-24_23-7-23
====================================================================================
23:7:23 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
23:7:23 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
23:7:23 | [PermissionManager] Perm (FreeCamera) has been registered!
23:7:23 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
23:7:23 | [PermissionManager] Perm (MenuItemManager) has been registered!
23:7:23 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
23:7:23 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
23:7:23 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
23:7:23 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
23:7:23 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
23:7:23 | [PermissionManager] Perm (MenuServerManager) has been registered!
23:7:23 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
23:7:23 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
23:7:23 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
23:7:23 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
23:7:23 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
23:7:23 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
23:7:23 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
23:7:23 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
23:7:23 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
23:7:23 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
23:7:23 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
23:7:23 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
23:7:23 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
23:7:23 | [PermissionManager] Perm (MenuObjectManager) has been registered!
23:7:23 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
23:7:23 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
23:7:23 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
23:7:23 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
23:7:23 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
23:7:23 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
23:7:23 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
23:7:23 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
23:7:23 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
23:7:23 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
23:7:23 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
23:7:23 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
23:7:23 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
23:7:23 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
23:7:23 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
23:7:23 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
23:7:23 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
23:7:23 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
23:7:23 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
23:7:23 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
23:7:23 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
23:7:23 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
23:7:23 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
23:7:23 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
23:7:23 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
23:7:23 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
23:7:23 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
23:7:23 | [PermissionManager] Perm (MenuBansManager) has been registered!
23:7:23 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
23:7:23 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
23:7:23 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
23:7:23 | [PermissionManager] Perm (MenuWebHooks) has been registered!
23:7:23 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
23:7:23 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
23:7:23 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
23:7:23 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
23:7:23 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
23:7:23 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
23:7:23 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
23:7:23 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
23:7:23 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
23:7:23 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
23:7:23 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
23:7:23 | [PermissionManager] Perm (EspToolsMenu) has been registered!
23:7:23 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
23:7:23 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
23:7:23 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
23:7:23 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
23:7:23 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
23:7:23 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
23:7:23 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
23:7:23 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
23:7:23 | [PermissionManager] Adding Super Admin (76561198116299684)
23:7:23 | [PermissionManager] Adding Super Admin (76561198124555828)
23:7:23 | [PermissionManager] Loaded UserGroups.json
23:7:23 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
23:7:23 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
23:7:23 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
23:7:23 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
23:7:23 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
23:7:23 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
23:7:23 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
23:7:23 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
23:7:23 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
23:7:23 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
23:7:23 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
23:7:23 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
23:7:23 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
23:7:23 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
23:7:23 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
23:7:23 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
23:7:23 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
23:7:23 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
23:7:23 | Building Sets Loaded: 1
23:7:23 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
23:7:23 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
23:9:53 | Player "BouRHooD" (steamId=76561198116299684) connected to server!
23:10:30 | "76561198116299684" (steamid=76561198116299684) teleported to (pos=<5335.839844, 99.935204, 1282.780029>)
23:10:30 | "BouRHooD": (steamid=76561198116299684) teleported to (pos=5335.84,0,1282.78)
23:10:34 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5339.632324, 101.388206, 1290.820435>)
23:10:35 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5342.710449, 101.734947, 1298.733521>)
23:10:36 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5345.920898, 100.742538, 1310.150269>)
23:10:38 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5352.583496, 101.633522, 1309.175903>)
23:10:39 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5358.669434, 102.440292, 1305.550293>)
23:10:45 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5358.481934, 102.650017, 1294.091187>)
23:10:46 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5349.014160, 102.648033, 1287.176270>)
23:10:46 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5312.941895, 97.402687, 1262.600098>)
23:10:47 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5303.323242, 99.059830, 1251.998413>)
23:10:48 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5298.722168, 99.544441, 1242.428345>)
23:10:48 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5292.477051, 99.607750, 1227.314331>)
23:10:49 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5309.303711, 99.529999, 1220.524902>)
23:10:50 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5322.437012, 99.529999, 1217.553955>)
23:10:50 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5336.633301, 99.532722, 1216.364014>)
23:10:51 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5352.846191, 99.587738, 1213.925049>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5364.965820, 99.745926, 1212.584229>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5365.029785, 99.745956, 1212.574341>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5365.100098, 99.745201, 1212.564819>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5365.162598, 99.744530, 1212.556641>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5365.237305, 99.743584, 1212.544922>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5365.301270, 99.742905, 1212.536255>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5365.370117, 99.742157, 1212.526733>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5365.440430, 99.741364, 1212.517212>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5365.509277, 99.740578, 1212.507080>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5365.577148, 99.739746, 1212.496948>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5373.304199, 99.777451, 1211.751709>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5375.425293, 99.804115, 1211.551636>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5376.129883, 99.794586, 1211.482422>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5376.322754, 99.791534, 1211.460327>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5376.661621, 99.784668, 1211.410645>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5376.735840, 99.783478, 1211.401978>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5376.754395, 99.782959, 1211.398315>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5376.754395, 99.782700, 1211.396484>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5376.752930, 99.782448, 1211.394531>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5378.144043, 99.763374, 1211.256470>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5379.288574, 99.751320, 1211.144043>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5380.450195, 99.737679, 1211.030151>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5381.884766, 99.706772, 1210.877319>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5383.200195, 99.679916, 1210.747314>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5384.398438, 99.654945, 1210.629761>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5385.444824, 99.635147, 1210.527344>)
23:10:52 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5397.461426, 99.935692, 1211.253906>)
23:10:53 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5403.927246, 100.956413, 1217.075684>)
23:10:54 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5405.321289, 102.614426, 1229.657593>)
23:10:58 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5403.770508, 102.650002, 1246.896851>)
23:10:59 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5410.097656, 102.650009, 1255.020508>)
23:11:0 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5405.572266, 102.650024, 1264.697876>)
23:11:3 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5397.088379, 102.649994, 1278.024048>)
23:11:17 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5065.288574, 106.530006, 599.954346>)
23:11:18 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5060.724121, 106.515297, 591.821533>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5051.520508, 105.882477, 578.520203>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5035.849121, 101.274696, 543.422119>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5029.819824, 100.533058, 529.565796>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5029.815430, 100.532883, 529.554504>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5029.807129, 100.532509, 529.531921>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5029.800781, 100.532242, 529.515625>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5029.791016, 100.531845, 529.490662>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5029.783203, 100.531517, 529.469727>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5029.774902, 100.531174, 529.448364>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5029.768555, 100.530899, 529.431213>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5029.761719, 100.530632, 529.414063>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5029.753906, 100.530243, 529.390625>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5029.747070, 100.529938, 529.371155>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5029.740234, 100.529625, 529.351196>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5029.732910, 100.529297, 529.330811>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5029.725586, 100.528961, 529.309937>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5025.693359, 100.397339, 519.981079>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5025.694824, 100.397346, 519.979553>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5025.695801, 100.397362, 519.976929>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5025.696777, 100.397369, 519.974670>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5025.697266, 100.397385, 519.971741>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5025.698242, 100.397385, 519.968567>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5025.624512, 100.398758, 519.790710>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5025.625488, 100.398788, 519.786682>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5025.627930, 100.398781, 519.784912>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5025.629395, 100.398796, 519.782898>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5025.631348, 100.398796, 519.780396>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5025.632324, 100.398796, 519.778992>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5025.053223, 100.397079, 518.434265>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5024.533203, 100.393517, 517.221619>)
23:11:19 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5024.067871, 100.390411, 516.135010>)
23:11:20 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5023.666504, 100.389999, 515.197021>)
23:11:20 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5023.355957, 100.405907, 514.469482>)
23:11:20 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5023.100586, 100.423859, 513.871277>)
23:11:20 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5022.871582, 100.440147, 513.328491>)
23:11:20 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5022.685547, 100.453438, 512.885315>)
23:11:20 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5022.535156, 100.464172, 512.527283>)
23:11:20 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5022.419434, 100.473747, 512.252258>)
23:11:20 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5022.330566, 100.481300, 512.040833>)
23:11:20 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5022.262207, 100.487175, 511.876251>)
23:11:20 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5022.207520, 100.491844, 511.745178>)
23:11:20 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5022.166016, 100.495422, 511.644287>)
23:11:20 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5022.132324, 100.498314, 511.563507>)
23:11:20 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5022.105469, 100.500671, 511.497681>)
23:11:20 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5022.083008, 100.502579, 511.443665>)
23:11:20 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5022.064453, 100.504204, 511.398773>)
