=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2026-1-31_11-9-42
====================================================================================
11:9:42 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
11:9:42 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
11:9:42 | [PermissionManager] Perm (FreeCamera) has been registered!
11:9:42 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
11:9:42 | [PermissionManager] Perm (MenuItemManager) has been registered!
11:9:42 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
11:9:42 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
11:9:42 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
11:9:42 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
11:9:42 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
11:9:42 | [PermissionManager] Perm (MenuServerManager) has been registered!
11:9:42 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
11:9:42 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
11:9:42 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
11:9:42 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
11:9:42 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
11:9:42 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
11:9:42 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
11:9:42 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
11:9:42 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
11:9:42 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
11:9:42 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
11:9:42 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
11:9:42 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
11:9:42 | [PermissionManager] Perm (MenuObjectManager) has been registered!
11:9:42 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
11:9:42 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
11:9:42 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
11:9:42 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
11:9:42 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
11:9:42 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
11:9:42 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
11:9:42 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
11:9:42 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
11:9:42 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
11:9:42 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
11:9:42 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
11:9:42 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
11:9:42 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
11:9:42 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
11:9:42 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
11:9:42 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
11:9:42 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
11:9:42 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
11:9:42 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
11:9:42 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
11:9:42 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
11:9:42 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
11:9:42 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
11:9:42 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
11:9:42 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
11:9:42 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
11:9:42 | [PermissionManager] Perm (MenuBansManager) has been registered!
11:9:42 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
11:9:42 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
11:9:42 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
11:9:42 | [PermissionManager] Perm (MenuWebHooks) has been registered!
11:9:42 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
11:9:42 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
11:9:42 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
11:9:42 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
11:9:42 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
11:9:42 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
11:9:42 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
11:9:42 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
11:9:42 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
11:9:42 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
11:9:42 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
11:9:42 | [PermissionManager] Perm (EspToolsMenu) has been registered!
11:9:42 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
11:9:42 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
11:9:42 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
11:9:42 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
11:9:42 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
11:9:42 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
11:9:42 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
11:9:42 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
11:9:42 | [PermissionManager] Adding Super Admin (76561198116299684)
11:9:42 | [PermissionManager] Adding Super Admin (76561198124555828)
11:9:42 | [PermissionManager] Loaded UserGroups.json
11:9:42 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
11:9:42 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
11:9:42 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
11:9:42 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
11:9:42 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
11:9:42 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
11:9:42 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
11:9:42 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
11:9:42 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
11:9:42 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
11:9:42 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
11:9:42 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
11:9:42 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
11:9:42 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
11:9:42 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
11:9:42 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
11:9:42 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
11:9:42 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
11:9:42 | Building Sets Loaded: 3
11:9:42 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
11:9:42 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
11:10:33 | Player "BorisBritva" (steamId=76561198124555828) connected to server!
11:10:38 | Player "BouRHooD" (steamId=76561198116299684) connected to server!
11:10:47 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<1683.121094, 106.566994, 14224.130859>)
11:10:49 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<1692.667725, 106.632011, 14221.402344>)
11:10:49 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<1699.815430, 106.987694, 14219.701172>)
11:12:9 | "BorisBritva" (steamid=76561198124555828) Spawned Item: (SFP_Piyavka)
11:12:18 | "BorisBritva" (steamid=76561198124555828) Spawned Item: (SFP_Shipastiy)
11:13:2 | "BouRHooD" (steamid=76561198116299684) gave godmode to (steamid=76561198116299684)
11:13:4 | "BouRHooD" (steamid=76561198116299684) gave godmode to (steamid=76561198124555828)
11:13:7 | "BouRHooD" (steamid=76561198116299684) gave unlimited ammo to (steamid=76561198124555828)
11:13:8 | "BouRHooD" (steamid=76561198116299684) gave unlimited ammo to (steamid=76561198116299684)
11:13:40 | "BorisBritva" (steamid=76561198124555828) Spawned Item: (Animal_Raven)
11:13:46 | "BouRHooD" (steamid=76561198116299684) toggled freecam
11:13:52 | "BouRHooD" (steamid=76561198116299684) toggled freecam
11:14:8 | "BorisBritva" (steamid=76561198124555828) Spawned Item: (SFP_Mutant_Snork)
11:14:19 | "BouRHooD" (steamid=76561198116299684) toggled freecam
11:14:20 | "BouRHooD" (steamid=76561198116299684) toggled freecam
11:14:22 | "BorisBritva" (steamid=76561198124555828) deleted object "SFP_Mutant_Snork" (pos=<1701.716553, 106.869217, 14216.257813>)
11:15:52 | "76561198116299684" (steamid=76561198116299684) teleported to (pos=<5236.339844, 117.529999, 2156.129883>)
11:15:52 | "BouRHooD": (steamid=76561198116299684) teleported to (pos=5236.34,0,2156.13)
11:17:5 | "BouRHooD" (steamid=76561198116299684) toggled freecam
11:17:8 | "BouRHooD" (steamid=76561198116299684) toggled freecam
11:18:44 | "BorisBritva" (steamid=76561198124555828) toggled freecam
11:19:4 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5224.277344, 118.251175, 2150.083008>)
11:19:5 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5219.529785, 119.586029, 2153.750000>)
11:19:7 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5232.987793, 117.586365, 2154.029541>)
11:19:23 | "76561198116299684" (steamid=76561198116299684) teleported to (pos=<5237.250000, 117.529999, 2157.889893>)
11:19:23 | "BouRHooD": (steamid=76561198116299684) teleported to (pos=5237.25,0,2157.89)
11:19:25 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5239.122559, 117.529991, 2163.880859>)
11:19:27 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5238.483887, 117.529999, 2161.806396>)
11:19:28 | "BouRHooD" (steamid=76561198116299684) toggled freecam
11:19:31 | "BouRHooD" (steamid=76561198116299684) toggled freecam
11:19:32 | "BorisBritva" (steamid=76561198124555828) toggled freecam
11:19:33 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5235.901367, 117.529999, 2155.742432>)
11:19:34 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5239.864258, 117.529984, 2151.179443>)
11:19:35 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5239.707031, 117.530006, 2146.337891>)
11:19:36 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5240.000488, 117.529991, 2148.652100>)
11:19:36 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5238.673340, 117.529984, 2153.494385>)
11:19:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5234.886719, 117.533180, 2150.416748>)
11:19:38 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5228.906738, 117.674683, 2146.654541>)
11:19:38 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5221.427734, 118.358261, 2147.133057>)
11:19:44 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5220.667969, 119.716896, 2155.983643>)
11:19:45 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5229.440430, 117.794060, 2154.823730>)
11:19:46 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5225.238281, 118.737488, 2154.666016>)
11:19:46 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5220.031738, 119.680382, 2154.573486>)
