=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2026-1-30_18-9-12
====================================================================================
18:9:12 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
18:9:12 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
18:9:12 | [PermissionManager] Perm (FreeCamera) has been registered!
18:9:12 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
18:9:12 | [PermissionManager] Perm (MenuItemManager) has been registered!
18:9:12 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
18:9:12 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
18:9:12 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
18:9:12 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
18:9:12 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
18:9:12 | [PermissionManager] Perm (MenuServerManager) has been registered!
18:9:12 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
18:9:12 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
18:9:12 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
18:9:12 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
18:9:12 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
18:9:12 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
18:9:12 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
18:9:12 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
18:9:12 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
18:9:12 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
18:9:12 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
18:9:12 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
18:9:12 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
18:9:12 | [PermissionManager] Perm (MenuObjectManager) has been registered!
18:9:12 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
18:9:12 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
18:9:12 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
18:9:12 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
18:9:12 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
18:9:12 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
18:9:12 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
18:9:12 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
18:9:12 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
18:9:12 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
18:9:12 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
18:9:12 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
18:9:12 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
18:9:12 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
18:9:12 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
18:9:12 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
18:9:12 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
18:9:12 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
18:9:12 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
18:9:12 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
18:9:12 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
18:9:12 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
18:9:12 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
18:9:12 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
18:9:12 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
18:9:12 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
18:9:12 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
18:9:12 | [PermissionManager] Perm (MenuBansManager) has been registered!
18:9:12 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
18:9:12 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
18:9:12 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
18:9:12 | [PermissionManager] Perm (MenuWebHooks) has been registered!
18:9:12 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
18:9:12 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
18:9:12 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
18:9:12 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
18:9:12 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
18:9:12 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
18:9:12 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
18:9:12 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
18:9:12 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
18:9:12 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
18:9:12 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
18:9:12 | [PermissionManager] Perm (EspToolsMenu) has been registered!
18:9:12 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
18:9:12 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
18:9:12 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
18:9:12 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
18:9:12 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
18:9:12 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
18:9:12 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
18:9:12 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
18:9:12 | [PermissionManager] Adding Super Admin (76561198116299684)
18:9:12 | [PermissionManager] Adding Super Admin (76561198124555828)
18:9:12 | [PermissionManager] Loaded UserGroups.json
18:9:12 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
18:9:12 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
18:9:12 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
18:9:12 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
18:9:12 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
18:9:12 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
18:9:12 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
18:9:12 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
18:9:12 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
18:9:12 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
18:9:12 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
18:9:12 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
18:9:12 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
18:9:12 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
18:9:12 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
18:9:12 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
18:9:12 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
18:9:12 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
18:9:12 | Building Sets Loaded: 2
18:9:12 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
18:9:12 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
18:13:25 | Player "BouRHooD" (steamId=76561198116299684) connected to server!
18:13:35 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5183.729980, 99.529999, 912.911621>)
18:13:36 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5172.956055, 99.530022, 918.966797>)
18:13:36 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5163.218750, 99.530006, 924.878845>)
18:13:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5154.509277, 99.529991, 930.807678>)
18:13:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5154.462402, 99.530006, 930.838013>)
18:13:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5154.419434, 99.529999, 930.865967>)
18:13:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5154.372070, 99.529991, 930.897278>)
18:13:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5154.314941, 99.529991, 930.933777>)
18:13:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5154.260254, 99.529991, 930.968323>)
18:13:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5154.199219, 99.530006, 931.007202>)
18:13:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5154.140625, 99.529999, 931.043762>)
18:13:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5154.082031, 99.530006, 931.080017>)
18:13:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5154.033203, 99.529999, 931.110291>)
18:13:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5153.976074, 99.529999, 931.146179>)
18:13:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5153.903320, 99.529999, 931.191162>)
18:13:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5153.842773, 99.529991, 931.228760>)
18:13:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5152.929199, 99.529991, 931.858032>)
18:13:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5152.160156, 99.529991, 932.386841>)
18:13:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5151.311523, 99.529991, 932.968628>)
18:13:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5150.357910, 99.530006, 933.610962>)
18:13:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5149.452637, 99.530006, 934.225159>)
18:13:37 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5148.696289, 99.530014, 934.747131>)
