=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2026-1-17_15-1-11
====================================================================================
15:1:11 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
15:1:11 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
15:1:11 | [PermissionManager] Perm (FreeCamera) has been registered!
15:1:11 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
15:1:11 | [PermissionManager] Perm (MenuItemManager) has been registered!
15:1:11 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
15:1:11 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
15:1:11 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
15:1:11 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
15:1:11 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
15:1:11 | [PermissionManager] Perm (MenuServerManager) has been registered!
15:1:11 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
15:1:11 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
15:1:11 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
15:1:11 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
15:1:11 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
15:1:11 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
15:1:11 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
15:1:11 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
15:1:11 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
15:1:11 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
15:1:11 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
15:1:11 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
15:1:11 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
15:1:11 | [PermissionManager] Perm (MenuObjectManager) has been registered!
15:1:11 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
15:1:11 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
15:1:11 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
15:1:11 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
15:1:11 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
15:1:11 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
15:1:11 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
15:1:11 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
15:1:11 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
15:1:11 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
15:1:11 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
15:1:11 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
15:1:11 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
15:1:11 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
15:1:11 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
15:1:11 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
15:1:11 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
15:1:11 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
15:1:11 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
15:1:11 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
15:1:11 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
15:1:11 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
15:1:11 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
15:1:11 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
15:1:11 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
15:1:11 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
15:1:11 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
15:1:11 | [PermissionManager] Perm (MenuBansManager) has been registered!
15:1:11 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
15:1:11 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
15:1:11 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
15:1:11 | [PermissionManager] Perm (MenuWebHooks) has been registered!
15:1:11 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
15:1:11 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
15:1:11 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
15:1:11 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
15:1:11 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
15:1:11 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
15:1:11 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
15:1:11 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
15:1:11 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
15:1:11 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
15:1:11 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
15:1:11 | [PermissionManager] Perm (EspToolsMenu) has been registered!
15:1:11 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
15:1:11 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
15:1:11 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
15:1:11 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
15:1:11 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
15:1:11 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
15:1:11 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
15:1:11 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
15:1:11 | [PermissionManager] Adding Super Admin (76561198116299684)
15:1:11 | [PermissionManager] Adding Super Admin (76561198124555828)
15:1:11 | [PermissionManager] Loaded UserGroups.json
15:1:11 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
15:1:11 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
15:1:11 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
15:1:11 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
15:1:11 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
15:1:11 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
15:1:11 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
15:1:11 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
15:1:11 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
15:1:11 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
15:1:11 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
15:1:11 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
15:1:11 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
15:1:11 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
15:1:11 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
15:1:11 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
15:1:11 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
15:1:11 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
15:1:11 | Building Sets Loaded: 0
15:1:11 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
15:1:11 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
15:2:8 | Player "BouRHooD" (steamId=76561198116299684) connected to server!
15:3:29 | "76561198116299684" (steamid=76561198116299684) teleported to (pos=<3825.540039, 107.529999, 13586.299805>)
15:3:29 | "BouRHooD": (steamid=76561198116299684) teleported to (pos=3825.54,0,13586.3)
15:4:3 | "76561198116299684" (steamid=76561198116299684) teleported to (pos=<3837.629883, 119.319962, 1164.290039>)
15:4:3 | "BouRHooD": (steamid=76561198116299684) teleported to (pos=3837.63,0,1164.29)
15:4:9 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<3845.079590, 120.123917, 1174.164673>)
15:4:10 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<3847.431152, 121.231445, 1174.844727>)
15:4:10 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<3847.677246, 122.146866, 1175.234375>)
15:4:11 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<3852.851318, 119.530006, 1193.952637>)
15:4:11 | Player "BorisBritva" (steamId=76561198124555828) connected to server!
15:4:12 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<3865.192383, 119.539803, 1202.452637>)
15:4:13 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<3867.708740, 120.819786, 1217.576416>)
15:4:13 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<3867.290039, 122.027885, 1227.696167>)
15:4:14 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<3881.028564, 120.894028, 1234.379395>)
15:4:15 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<3894.573975, 118.563255, 1233.697144>)
15:4:16 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<3903.895508, 116.791168, 1242.239868>)
15:4:16 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<3911.440186, 115.696381, 1257.113403>)
15:4:16 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<3911.470947, 115.688431, 1257.183838>)
15:4:16 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<3911.504639, 115.679756, 1257.259399>)
15:4:16 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<3911.544678, 115.669586, 1257.345093>)
15:4:16 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<3911.627930, 115.648712, 1257.504639>)
15:4:16 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<3911.716553, 115.626511, 1257.677002>)
