=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2026-1-18_12-7-6
====================================================================================
12:7:6 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
12:7:6 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
12:7:6 | [PermissionManager] Perm (FreeCamera) has been registered!
12:7:6 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
12:7:6 | [PermissionManager] Perm (MenuItemManager) has been registered!
12:7:6 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
12:7:6 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
12:7:6 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
12:7:6 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
12:7:6 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
12:7:6 | [PermissionManager] Perm (MenuServerManager) has been registered!
12:7:6 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
12:7:6 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
12:7:6 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
12:7:6 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
12:7:6 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
12:7:6 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
12:7:6 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
12:7:6 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
12:7:6 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
12:7:6 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
12:7:6 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
12:7:6 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
12:7:6 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
12:7:6 | [PermissionManager] Perm (MenuObjectManager) has been registered!
12:7:6 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
12:7:6 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
12:7:6 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
12:7:6 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
12:7:6 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
12:7:6 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
12:7:6 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
12:7:6 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
12:7:6 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
12:7:6 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
12:7:6 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
12:7:6 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
12:7:6 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
12:7:6 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
12:7:6 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
12:7:6 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
12:7:6 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
12:7:6 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
12:7:6 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
12:7:6 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
12:7:6 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
12:7:6 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
12:7:6 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
12:7:6 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
12:7:6 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
12:7:6 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
12:7:6 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
12:7:6 | [PermissionManager] Perm (MenuBansManager) has been registered!
12:7:6 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
12:7:6 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
12:7:6 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
12:7:6 | [PermissionManager] Perm (MenuWebHooks) has been registered!
12:7:6 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
12:7:6 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
12:7:6 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
12:7:6 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
12:7:6 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
12:7:6 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
12:7:6 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
12:7:6 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
12:7:6 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
12:7:6 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
12:7:6 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
12:7:6 | [PermissionManager] Perm (EspToolsMenu) has been registered!
12:7:6 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
12:7:6 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
12:7:6 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
12:7:6 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
12:7:6 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
12:7:6 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
12:7:6 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
12:7:6 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
12:7:6 | [PermissionManager] Adding Super Admin (76561198116299684)
12:7:6 | [PermissionManager] Adding Super Admin (76561198124555828)
12:7:6 | [PermissionManager] Loaded UserGroups.json
12:7:6 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
12:7:6 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
12:7:6 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
12:7:6 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
12:7:6 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
12:7:6 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
12:7:6 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
12:7:6 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
12:7:6 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
12:7:6 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
12:7:6 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
12:7:6 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
12:7:6 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
12:7:6 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
12:7:6 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
12:7:6 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
12:7:6 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
12:7:6 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
12:7:6 | Building Sets Loaded: 0
12:7:6 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
12:7:6 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
12:7:47 | Player "BorisBritva" (steamId=76561198124555828) connected to server!
12:8:5 | "76561198124555828" (steamid=76561198124555828) teleported to (pos=<5307.569824, 107.531258, 15591.799805>)
12:8:5 | "BorisBritva": (steamid=76561198124555828) teleported to (pos=5307.57,0,15591.8)
12:8:12 | Player "BouRHooD" (steamId=76561198116299684) connected to server!
12:8:25 | "76561198116299684" (steamid=76561198116299684) teleported to (pos=<5304.209961, 107.529999, 15618.000000>)
12:8:25 | "BouRHooD": (steamid=76561198116299684) teleported to (pos=5304.21,0,15618)
12:8:27 | "BorisBritva" (steamid=76561198124555828) toggled freecam
12:9:30 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5308.659668, 107.529999, 15609.229492>)
12:9:31 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5311.113281, 107.529999, 15595.199219>)
12:9:34 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5295.057129, 107.530006, 15595.536133>)
12:9:35 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5283.329102, 107.530006, 15595.648438>)
12:9:35 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5273.452148, 107.535477, 15595.360352>)
12:9:43 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5282.377930, 107.530014, 15600.976563>)
12:9:44 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5293.548340, 107.529999, 15598.125977>)
12:10:26 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5336.947754, 107.641602, 15560.462891>)
12:10:27 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5357.578613, 107.626900, 15538.903320>)
12:10:27 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5377.502930, 107.624863, 15518.344727>)
12:10:27 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5395.815918, 107.777588, 15499.379883>)
12:10:27 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5395.866699, 107.778343, 15499.333984>)
12:10:27 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5395.910645, 107.778984, 15499.293945>)
12:10:27 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5395.993652, 107.780151, 15499.220703>)
12:10:27 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5410.560059, 108.150734, 15484.146484>)
12:10:27 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5410.618652, 108.150055, 15484.094727>)
12:10:27 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5410.763184, 108.149269, 15483.956055>)
12:10:27 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5410.877930, 108.148712, 15483.845703>)
12:10:27 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5410.993652, 108.148003, 15483.733398>)
12:10:27 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5410.762207, 108.148346, 15483.980469>)
12:10:27 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5410.560059, 108.148407, 15484.198242>)
12:10:27 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5431.729004, 107.911812, 15462.345703>)
12:10:27 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5429.737305, 107.943527, 15464.446289>)
12:10:27 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<5428.632813, 107.953522, 15465.659180>)
