=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2026-1-18_12-37-4
====================================================================================
12:37:4 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
12:37:4 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
12:37:4 | [PermissionManager] Perm (FreeCamera) has been registered!
12:37:4 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
12:37:4 | [PermissionManager] Perm (MenuItemManager) has been registered!
12:37:4 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
12:37:4 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
12:37:4 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
12:37:4 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
12:37:4 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
12:37:4 | [PermissionManager] Perm (MenuServerManager) has been registered!
12:37:4 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
12:37:4 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
12:37:4 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
12:37:4 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
12:37:4 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
12:37:4 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
12:37:4 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
12:37:4 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
12:37:4 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
12:37:4 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
12:37:4 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
12:37:4 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
12:37:4 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
12:37:4 | [PermissionManager] Perm (MenuObjectManager) has been registered!
12:37:4 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
12:37:4 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
12:37:4 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
12:37:4 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
12:37:4 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
12:37:4 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
12:37:4 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
12:37:4 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
12:37:4 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
12:37:4 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
12:37:4 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
12:37:4 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
12:37:4 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
12:37:4 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
12:37:4 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
12:37:4 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
12:37:4 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
12:37:4 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
12:37:4 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
12:37:4 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
12:37:4 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
12:37:4 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
12:37:4 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
12:37:4 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
12:37:4 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
12:37:4 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
12:37:4 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
12:37:4 | [PermissionManager] Perm (MenuBansManager) has been registered!
12:37:4 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
12:37:4 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
12:37:4 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
12:37:4 | [PermissionManager] Perm (MenuWebHooks) has been registered!
12:37:4 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
12:37:4 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
12:37:4 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
12:37:4 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
12:37:4 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
12:37:4 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
12:37:4 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
12:37:4 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
12:37:4 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
12:37:4 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
12:37:4 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
12:37:4 | [PermissionManager] Perm (EspToolsMenu) has been registered!
12:37:4 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
12:37:4 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
12:37:4 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
12:37:4 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
12:37:4 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
12:37:4 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
12:37:4 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
12:37:4 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
12:37:4 | [PermissionManager] Adding Super Admin (76561198116299684)
12:37:4 | [PermissionManager] Adding Super Admin (76561198124555828)
12:37:4 | [PermissionManager] Loaded UserGroups.json
12:37:4 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
12:37:4 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
12:37:4 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
12:37:4 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
12:37:4 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
12:37:4 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
12:37:4 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
12:37:4 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
12:37:4 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
12:37:4 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
12:37:4 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
12:37:4 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
12:37:4 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
12:37:4 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
12:37:4 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
12:37:4 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
12:37:4 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
12:37:4 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
12:37:4 | Building Sets Loaded: 0
12:37:4 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
12:37:4 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
12:37:52 | Player "BouRHooD" (steamId=76561198116299684) connected to server!
12:38:3 | "BouRHooD" (steamid=76561198116299684) healed player (steamid=76561198116299684)
12:38:5 | "BouRHooD" (steamid=76561198116299684) gave godmode to (steamid=76561198116299684)
12:38:12 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<2532.717529, 11.889434, 1349.065430>)
12:38:14 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<2542.019043, 15.066501, 1350.890625>)
12:38:15 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<2546.304932, 17.034136, 1345.265137>)
12:38:16 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<2549.763184, 18.672031, 1339.624390>)
12:38:16 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<2557.996094, 19.933720, 1334.541626>)
12:38:17 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<2568.166992, 20.190475, 1332.920288>)
12:38:17 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<2576.468994, 20.758307, 1331.372070>)
12:38:17 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<2576.521484, 20.762047, 1331.360352>)
12:38:17 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<2576.566650, 20.765251, 1331.348511>)
12:38:17 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<2576.610596, 20.768341, 1331.337646>)
12:38:17 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<2576.660156, 20.771856, 1331.326660>)
12:38:17 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<2576.709717, 20.775385, 1331.315063>)
12:38:17 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<2576.760254, 20.778948, 1331.302979>)
12:38:17 | "BouRHooD" (steamid=76561198116299684) teleported to crosshair (pos=<2576.815430, 20.782869, 1331.289673>)
